"gene1","gene2","class"
"PMEL","GRHL3","mes-like"
"RP11.454E5.4","ENTPD3","mes-like"
"AC092066.1","HSD17B2","mes-like"
"ZBED6CL","FOXQ1","mes-like"
"TMEM263","AHR","mes-like"
"CDC25B","SEMA4B","mes-like"
"EIF4H","SDC1","mes-like"
"HPCAL1","GLTP","mes-like"
"ORAI2","MECOM","mes-like"
"IFI27L1","INAVA","mes-like"
"ATAD3C","GGT6","mes-like"
"S100A1","TP63","mes-like"
"METTL21A","CXADR","mes-like"
"DUSP7","MRPS27","large-basal"
"C1orf74","IQCH.AS1","large-basal"
"AREG","TMC4","large-basal"
"VEGFC","CH17.340M24.3","large-basal"
"CDH3","KEAP1","large-basal"
"JAG1","GSTM4","large-basal"
"STK17A","ABHD4","large-basal"
"RP3.512B11.3","RP11.91G21.1","large-basal"
"NXN","PRAF2","large-basal"
"PHLDA1","EPB41L1","large-basal"
"KRT14","AKR1C3","large-basal"
"ENDOD1","VSIG10","large-basal"
"MMP1","NECAB3","large-basal"
"FOSL1","SNHG9","large-basal"
"GLIPR1","RAB11FIP3","large-basal"
"KLC3","REEP6","large-basal"
"LASTR","ZNF552","large-basal"
"PTHLH","GSTM2","large-basal"
"KLF7","ALDH6A1","large-basal"
"PTPRE","INPP4A","large-basal"
"CD44","NDUFB4","large-basal"
"DSP","MKRN1","large-basal"
"HBEGF","FYTTD1","large-basal"
"F3","THEM6","large-basal"
"KLF10","CLK2","large-basal"
"CAB39","REPIN1","large-basal"
"KRT17","RPL18","large-basal"
"CCDC71L","IFT172","large-basal"
"ARL4D","PCYT2","large-basal"
"SLC31A2","OSER1.DT","large-basal"
"MYO1B","SLC41A3","large-basal"
"TMCC3","PDIK1L","large-basal"
"PLK2","ASPSCR1","large-basal"
"DSE","CREB3L4","large-basal"
"IER5","ACP6","large-basal"
"SIN3A","CEMIP2","small-basal"
"CTDSPL2","CDR2","small-basal"
"DNAJB4","FYN","small-basal"
"KCTD1","OGFR","small-basal"
"IPMK","SPRY4","small-basal"
"KRT5","KRT17","small-basal"
"OR4F17","PTPRM","small-basal"
"RASSF6","TBX2","small-basal"
"TTBK2","TTC21A","small-basal"
"CKMT2.AS1","FAM167B","small-basal"
"CRNDE","SLC39A13","small-basal"
"RP11.27G14.4","SPNS2","small-basal"
"KITLG","PALM2AKAP2","small-basal"
"DIP2B","PKNOX1","small-basal"
"PAK6","PLEKHF1","small-basal"
"MAB21L3","PDGFB","small-basal"
"WNK1","MYD88","small-basal"
"TRIM2","ESAM","small-basal"
"RP11.561B11.2","ROBO4","small-basal"
"CTD.2366F13.1","TESC","small-basal"
"FZD6","SLC20A1","small-basal"
"GSR","RHOB","small-basal"
"TMTC3","ARHGAP10","small-basal"
"KRT15","RABAC1","small-basal"
"LRRC8B","DUSP4","small-basal"
"HIBADH","ACSF2","small-basal"
"ASB3","LENG1","small-basal"
"ZNF704","AMMECR1","lum-inf"
"BSPRY","FERMT1","lum-inf"
"GPR160","ZNF385A","lum-inf"
"PPP2R5B","DUSP7","lum-inf"
"ARID5B","FRMD6","lum-inf"
"PDE9A","C16orf74","lum-inf"
"PPM1D","SLC37A2","lum-inf"
"ANKRD12","KREMEN1","lum-inf"
"ERBB2","SLC2A1","lum-inf"
"TWSG1","SLC7A5","lum-inf"
"RAB17","MEAK7","lum-inf"
"REEP6","SH3BP1","lum-inf"
"REPS2","ARL4D","lum-inf"
"TJP3","MIR205HG","lum-inf"
"KALRN","SEC14L2","lum-inf"
"CDKL5","WDFY2","lum-inf"
"GNAQ","FZD6","lum-inf"
"PLAAT3","SLC16A3","lum-inf"
"STPG1","PRICKLE3","lum-inf"
"TBX3","UGCG","large-luminal"
"MYCL","TUBB2A","large-luminal"
"RNF128","RALA","large-luminal"
"MFAP3L","BMP2K","large-luminal"
"CAB39L","FNBP1","large-luminal"
"TMC7","ADCY7","large-luminal"
"CYP2J2","SLC12A8","large-luminal"
"EDARADD","IL15RA","large-luminal"
"FBXO27","SLC16A1","large-luminal"
"SORL1","ELMO1","large-luminal"
"ALDH5A1","WWTR1","large-luminal"
"DHRS2","TM4SF1","large-luminal"
"CTB.189B5.4","TMEM131L","large-luminal"
"PLEKHH1","TRAF3","large-luminal"
"ANKRD65","PPP1R18","large-luminal"
"TMEM40","SERPINB1","large-luminal"
"VSIG2","EMP1","large-luminal"
"ZNF888","IFIT5","large-luminal"
"SEMA3F","MSN","large-luminal"
"BTG2","WARS1","large-luminal"
"SNHG18","CYTOR","large-luminal"
"SLC2A10","CCDC71L","large-luminal"
"LINC02562","NAB1","large-luminal"
"IFT140","DENND1A","large-luminal"
"PPFIBP2","RALGDS","large-luminal"
"SSH3","SIGMAR1","large-luminal"
"TRIT1","MAP4K4","large-luminal"
"SLC44A3","P4HA2","large-luminal"
"CEBPA","RRAS2","large-luminal"
"AADAT","FMNL2","large-luminal"
"METTL7A","STING1","large-luminal"
